Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23550000000000001,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23575000000000004,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23600000000000002,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
